model,framework,timestamp,fps
ssdlite,pt,0.758509635925293,0.2636738024425464
ssdlite,pt,1.6136877536773682,0.4448084497982425
ssdlite,pt,2.131661891937256,0.7419664234030561
ssdlite,pt,2.721768617630005,0.9324948816753189
ssdlite,pt,3.231443405151367,1.138402994913265
ssdlite,pt,3.736987590789795,1.3063356888565896
ssdlite,pt,4.246899366378784,1.4372932644074614
ssdlite,pt,4.746514081954956,1.5501430767587308
ssdlite,pt,5.257507085800171,1.631509252519589
ssdlite,pt,5.776296377182007,1.6907203710040717
ssdlite,pt,6.297418832778931,1.7363632510056215
ssdlite,pt,6.803477764129639,1.7843014895169749
ssdlite,pt,7.420346736907959,1.751659151708442
ssdlite,pt,7.92937445640564,1.7942332326545798
ssdlite,pt,8.458454847335815,1.8134009737829384
ssdlite,pt,8.975056409835815,1.8378663366823054
ssdlite,pt,9.49485993385315,1.8550538313627842
ssdlite,pt,10.009892702102661,1.8723678714511083
ssdlite,pt,10.528955698013306,1.883203983221477
ssdlite,pt,11.04417872428894,1.894744595016415
ssdlite,pt,11.56075930595398,1.9029569575219363
ssdlite,pt,12.080408811569214,1.9072403668955211
ssdlite,pt,12.672293663024902,1.863695856191011
ssdlite,pt,13.183032751083374,1.8825460594028474
ssdlite,pt,13.689073324203491,1.9012620737661956
ssdlite,pt,14.196782112121582,1.9149362656807658
ssdlite,pt,14.712416172027588,1.9198209852309354
ssdlite,pt,15.24341630935669,1.912504525049729
ssdlite,pt,15.766334295272827,1.9124727746426902
ssdlite,pt,16.313580989837646,1.8954441092048941
ssdlite,pt,16.84645390510559,1.8916792985297561
ssdlite,pt,17.475064277648926,1.831505544852707
ssdlite,pt,17.995851278305054,1.8492385990775304
ssdlite,pt,18.505305290222168,1.8719680213035303
ssdlite,pt,19.01451587677002,1.8903392284657023
ssdlite,pt,19.53084397315979,1.8996219867749873
ssdlite,pt,20.04563879966736,1.9082018822016884
ssdlite,pt,20.57511067390442,1.9042963954345538
ssdlite,pt,21.0924015045166,1.910066818952872
ssdlite,pt,21.602958917617798,1.919782171400443
ssdlite,pt,22.128553867340088,1.9163468971993747
ssdlite,pt,22.719797134399414,1.8713477546363482
ssdlite,pt,23.24199414253235,1.8800754190992641
ssdlite,pt,23.7589430809021,1.8909457414681146
ssdlite,pt,24.283038854599,1.8943662340789156
ssdlite,pt,24.794108629226685,1.9068289846730755
ssdlite,pt,25.319037675857544,1.9064670610879269
ssdlite,pt,25.833080053329468,1.9142466295526077
ssdlite,pt,26.351473331451416,1.9172047753835533
ssdlite,pt,26.868873596191406,1.9203117477620137
ssdlite,pt,27.487916707992554,1.8593286736062575
ssdlite,pt,28.000101804733276,1.8779467723129897
ssdlite,pt,28.512919425964355,1.8923596169165557
ssdlite,pt,29.034022092819214,1.8976892219481925
ssdlite,pt,29.544032335281372,1.9103003646739247
