model,framework,timestamp,fps
ssdlite,pt,0.836724042892456,0.2390265474621939
ssdlite,pt,1.687312126159668,0.4263526769522715
ssdlite,pt,2.189040184020996,0.7397044567110285
ssdlite,pt,2.708636999130249,0.9766773950618456
ssdlite,pt,3.2084083557128906,1.18152491446613
ssdlite,pt,3.7139194011688232,1.3408591600285655
ssdlite,pt,4.2111592292785645,1.4749077228779883
ssdlite,pt,4.719174146652222,1.5736154050557365
ssdlite,pt,5.212110280990601,1.664624397771424
ssdlite,pt,5.762652635574341,1.694977653559184
ssdlite,pt,6.260272026062012,1.7578957215196147
ssdlite,pt,6.761557579040527,1.8052907722860447
ssdlite,pt,7.261994361877441,1.8438834965396789
ssdlite,pt,7.769026756286621,1.8695589115449722
ssdlite,pt,8.266116857528687,1.897988675567851
ssdlite,pt,8.765385866165161,1.9189765897542617
ssdlite,pt,9.265641689300537,1.9349767179543227
ssdlite,pt,9.771678924560547,1.9432092075430403
ssdlite,pt,10.264734745025635,1.960200950911992
ssdlite,pt,10.875022649765015,1.8958749402944155
ssdlite,pt,11.392005681991577,1.9035598442103856
ssdlite,pt,11.907380104064941,1.9109152520832704
ssdlite,pt,12.419990539550781,1.918892030953831
ssdlite,pt,12.925117015838623,1.9310540661942757
ssdlite,pt,13.426968336105347,1.9433676603311034
ssdlite,pt,13.932145595550537,1.9505947676160078
ssdlite,pt,14.449595212936401,1.9469868738755778
ssdlite,pt,14.976737260818481,1.9369938755935692
ssdlite,pt,15.490448951721191,1.9389185352764926
ssdlite,pt,16.09058451652527,1.884392864787137
ssdlite,pt,16.601439237594604,1.8990150292240011
ssdlite,pt,17.10102391242981,1.9195445597324685
ssdlite,pt,17.6103777885437,1.928289968051283
ssdlite,pt,18.111217975616455,1.9419609523509946
ssdlite,pt,18.617058753967285,1.9489500924489858
ssdlite,pt,19.11733627319336,1.9589381817370448
ssdlite,pt,19.620251417160034,1.9648319483049015
ssdlite,pt,20.13046932220459,1.9638549381278394
ssdlite,pt,20.647050380706787,1.9582448746365995
ssdlite,pt,21.24201488494873,1.9027504073715884
ssdlite,pt,21.759560585021973,1.9086396296567192
ssdlite,pt,22.28912329673767,1.9045817994011682
ssdlite,pt,22.824634075164795,1.89714064871734
ssdlite,pt,23.333166122436523,1.9110014003196965
ssdlite,pt,23.85642719268799,1.9110195029531085
ssdlite,pt,24.360870599746704,1.9252921886383394
ssdlite,pt,24.878507137298584,1.9266052403458722
ssdlite,pt,25.38180375099182,1.9386641756872387
ssdlite,pt,25.99783444404602,1.875590488632862
ssdlite,pt,26.500295400619507,1.898513268278917
ssdlite,pt,27.012123107910156,1.909567107777239
ssdlite,pt,27.5168776512146,1.9238858799741707
ssdlite,pt,28.014344453811646,1.9411455815275305
ssdlite,pt,28.51898717880249,1.9492364557730195
ssdlite,pt,29.015805959701538,1.961950435828973
ssdlite,pt,29.519927263259888,1.9662902598736278
