model,framework,timestamp,fps
yolov11,pt,0.8607687950134277,1.1324612287823209e-10
yolov11,pt,1.741276741027832,0.2271416186362269
yolov11,pt,2.329594850540161,0.5216654343489603
yolov11,pt,2.8511760234832764,0.8007817708382672
yolov11,pt,3.357560634613037,1.0355821266578968
yolov11,pt,3.8751959800720215,1.2148380805591559
yolov11,pt,4.414113521575928,1.342984752992988
yolov11,pt,4.9410295486450195,1.45395492452669
yolov11,pt,5.4613258838653564,1.5475602662172396
yolov11,pt,6.0188889503479,1.5967520296769406
yolov11,pt,6.566370010375977,1.6427110647471346
yolov11,pt,7.152449607849121,1.6554194274230851
yolov11,pt,7.68163537979126,1.7022746525573909
yolov11,pt,8.214833736419678,1.7369146515664449
yolov11,pt,8.747732162475586,1.7648377649963163
yolov11,pt,9.306496143341064,1.7698030903658715
yolov11,pt,9.864548683166504,1.7742316663685107
yolov11,pt,10.404065608978271,1.790087326733055
yolov11,pt,10.971126079559326,1.784765932398173
yolov11,pt,11.498250007629395,1.8072301643845332
yolov11,pt,12.076061964035034,1.7919175020320584
yolov11,pt,12.634816884994507,1.7914726836806838
yolov11,pt,13.163111925125122,1.8117544817716773
yolov11,pt,13.702256917953491,1.8203613104456218
yolov11,pt,14.239100217819214,1.8288372389551784
yolov11,pt,14.789257526397705,1.8266021788675153
yolov11,pt,15.322165250778198,1.8365812383912528
yolov11,pt,15.911945104598999,1.8083745732196441
yolov11,pt,16.47447395324707,1.802236979871612
yolov11,pt,17.063441276550293,1.781366996916233
yolov11,pt,17.614840507507324,1.78780719735588
yolov11,pt,18.15776491165161,1.79862116792954
yolov11,pt,18.709020376205444,1.801705129200935
yolov11,pt,19.24846386909485,1.8121165596166318
yolov11,pt,19.794723510742188,1.8158195084525042
yolov11,pt,20.307608127593994,1.8426068617394717
yolov11,pt,20.914710521697998,1.8035192092094203
yolov11,pt,21.454106092453003,1.8136007628057214
yolov11,pt,22.0087628364563,1.8114639839478843
yolov11,pt,22.581729888916016,1.7982313977610127
yolov11,pt,23.171671628952026,1.7776016454811334
yolov11,pt,23.707504510879517,1.79533201962761
yolov11,pt,24.259663343429565,1.7984802326019664
yolov11,pt,24.793938159942627,1.8131233722429156
yolov11,pt,25.328476667404175,1.8246532202622712
yolov11,pt,25.9282009601593,1.7932091506508858
yolov11,pt,26.469359397888184,1.8041448528222548
yolov11,pt,27.085432052612305,1.7679529172996538
yolov11,pt,27.624247312545776,1.7855470698189793
yolov11,pt,28.179112672805786,1.7888854587352911
yolov11,pt,28.728984117507935,1.794829745734014
yolov11,pt,29.27589201927185,1.8015560810741416
yolov11,pt,29.824622869491577,1.805722276544686
