model,framework,timestamp,fps
ssdlite,pt,0.6589910984039307,0.30349247926484024
ssdlite,pt,1.7573821544647217,0.4248784959326396
ssdlite,pt,2.4321470260620117,0.6363023403776051
ssdlite,pt,3.154965400695801,0.7857365538689833
ssdlite,pt,3.8222744464874268,0.9283004507602062
ssdlite,pt,4.465431213378906,1.053606536034795
ssdlite,pt,5.112763166427612,1.1518457228341497
ssdlite,pt,5.756721496582031,1.232055680415188
ssdlite,pt,6.4741435050964355,1.2644204915799195
ssdlite,pt,7.12421441078186,1.3191951397957822
ssdlite,pt,7.848955869674683,1.3313165906334885
ssdlite,pt,8.494768619537354,1.3747405619610935
ssdlite,pt,9.1450355052948,1.4073584726595867
ssdlite,pt,9.793703079223633,1.4342111156441035
ssdlite,pt,10.46688199043274,1.4444667318412017
ssdlite,pt,11.101868867874146,1.4705405243308114
ssdlite,pt,11.891315221786499,1.4297745230906096
ssdlite,pt,12.595243453979492,1.4279394915693902
ssdlite,pt,13.247512817382812,1.4489733836098342
ssdlite,pt,13.897067546844482,1.4670819380224533
ssdlite,pt,14.554153680801392,1.4780396494354224
ssdlite,pt,15.211313009262085,1.4867719173333607
ssdlite,pt,15.865232706069946,1.4952654858037675
ssdlite,pt,16.594754219055176,1.4703646877048917
ssdlite,pt,17.234570503234863,1.4888814809120472
ssdlite,pt,17.9592022895813,1.4671074299642721
ssdlite,pt,18.633280038833618,1.470387623001527
ssdlite,pt,19.271137237548828,1.48985990297009
ssdlite,pt,19.9265079498291,1.4970587154133854
ssdlite,pt,20.58595299720764,1.5009322889693735
ssdlite,pt,21.228399515151978,1.5120557914815314
ssdlite,pt,21.99411392211914,1.470838621675214
ssdlite,pt,22.710968017578125,1.4556676991537187
ssdlite,pt,23.356410264968872,1.4743992182163406
ssdlite,pt,24.01514172554016,1.4831332323756872
ssdlite,pt,24.665337324142456,1.4941063303927207
ssdlite,pt,25.338802576065063,1.4922565850111098
ssdlite,pt,26.015735149383545,1.4892556686589162
ssdlite,pt,26.8060142993927,1.4444796666672062
ssdlite,pt,27.461405038833618,1.460745201087506
ssdlite,pt,28.18527913093567,1.4448873034625267
ssdlite,pt,28.835233449935913,1.4636237761240436
ssdlite,pt,29.477035999298096,1.4825213418120424
