model,framework,timestamp,fps
fasterrcnn,pt,0.7733211517333984,0.2586038745843617
fasterrcnn,pt,1.8753015995025635,0.38837452304517034
fasterrcnn,pt,2.562664747238159,0.6016666286095315
fasterrcnn,pt,3.2444727420806885,0.7746710189497434
fasterrcnn,pt,3.909311294555664,0.9205617286000063
fasterrcnn,pt,4.585444211959839,1.032249209884205
fasterrcnn,pt,5.2602620124816895,1.1221756636205713
fasterrcnn,pt,5.944332122802734,1.1901082238894118
fasterrcnn,pt,6.726481676101685,1.2077921524976423
fasterrcnn,pt,7.39961576461792,1.2633513444926938
fasterrcnn,pt,8.065346479415894,1.311102846070365
fasterrcnn,pt,8.744564771652222,1.3433384219366897
fasterrcnn,pt,9.407767534255981,1.3762376357552524
fasterrcnn,pt,10.071796655654907,1.4021817183617007
fasterrcnn,pt,10.733647584915161,1.4239282245699805
fasterrcnn,pt,11.490181922912598,1.4035059931256288
fasterrcnn,pt,12.148993730545044,1.4263816243067788
fasterrcnn,pt,12.820102214813232,1.4391197109575804
fasterrcnn,pt,13.492473125457764,1.448750636062868
fasterrcnn,pt,14.169364929199219,1.4544687046454259
fasterrcnn,pt,14.835086822509766,1.464000715084418
fasterrcnn,pt,15.498544216156006,1.4726517306729676
fasterrcnn,pt,16.167685747146606,1.47701181464502
fasterrcnn,pt,16.92043972015381,1.447300510377604
fasterrcnn,pt,17.59580135345459,1.45397804795821
fasterrcnn,pt,18.291789293289185,1.4505437395516592
fasterrcnn,pt,18.981432676315308,1.4504399491635898
fasterrcnn,pt,19.650322437286377,1.4593548917567583
fasterrcnn,pt,20.399518251419067,1.4344368197447606
fasterrcnn,pt,21.08069920539856,1.4411571951660749
fasterrcnn,pt,21.911215782165527,1.393739733354795
fasterrcnn,pt,22.65954303741455,1.3822545364996839
fasterrcnn,pt,23.359657287597656,1.391471289796132
fasterrcnn,pt,24.056208848953247,1.4003058118094476
fasterrcnn,pt,24.71679377555847,1.4230066289371734
fasterrcnn,pt,25.40332579612732,1.4297245628607187
fasterrcnn,pt,26.101006507873535,1.4304437311966207
fasterrcnn,pt,26.89193868637085,1.3972211667075176
fasterrcnn,pt,27.57695436477661,1.4097410537573318
fasterrcnn,pt,28.28101372718811,1.4118597991144708
fasterrcnn,pt,29.00280523300171,1.4065761651988777
fasterrcnn,pt,29.701285362243652,1.411596923158673
