model,framework,timestamp,fps
yolov11,onnx,0.3029325008392334,0.6602089250817922
yolov11,onnx,1.0491759777069092,0.7961761829578302
yolov11,onnx,1.4539504051208496,1.131043306729734
yolov11,onnx,1.7572171688079834,1.5643200356335765
yolov11,onnx,2.0477774143218994,1.939781438083311
yolov11,onnx,2.3647758960723877,2.1827429987023432
yolov11,onnx,2.7013344764709473,2.340444587927956
yolov11,onnx,2.995335102081299,2.552626331620026
yolov11,onnx,3.2871742248535156,2.7274101427773907
yolov11,onnx,3.5755136013031006,2.87555519513838
yolov11,onnx,3.8746979236602783,2.9689283815683214
yolov11,onnx,4.198031902313232,2.993698171751629
yolov11,onnx,4.4551990032196045,3.1726629921900784
yolov11,onnx,4.729267597198486,3.267874714677104
yolov11,onnx,5.0251994132995605,3.29013112585229
yolov11,onnx,5.3203699588775635,3.3096792826661865
yolov11,onnx,5.612683057785034,3.33194129734538
yolov11,onnx,5.913640737533569,3.330098299413108
yolov11,onnx,6.343753099441528,3.129073412321506
yolov11,onnx,6.628506183624268,3.2056216228668224
yolov11,onnx,6.909375905990601,3.276571203287546
yolov11,onnx,7.207071304321289,3.293084613045494
yolov11,onnx,7.577892303466797,3.173811472101579
yolov11,onnx,7.8975090980529785,3.1647985231089546
yolov11,onnx,8.231399059295654,3.13083855856811
yolov11,onnx,8.595731735229492,3.0536196873266497
yolov11,onnx,8.889482021331787,3.12374615056647
yolov11,onnx,9.234182357788086,3.079211033546611
yolov11,onnx,9.542235136032104,3.112608223865462
yolov11,onnx,9.874742984771729,3.0915761401902597
yolov11,onnx,10.164817333221436,3.162739320253074
yolov11,onnx,10.455132722854614,3.2190974086313173
yolov11,onnx,10.746143102645874,3.262538636105389
yolov11,onnx,11.083033084869385,3.20369652838412
yolov11,onnx,11.7788827419281,2.8503756297887612
yolov11,onnx,12.214355230331421,2.7395717674033855
yolov11,onnx,12.602165222167969,2.7073738838694004
yolov11,onnx,12.896734237670898,2.8448571423068336
yolov11,onnx,13.2064790725708,2.9215784824258773
yolov11,onnx,13.496776819229126,3.0262106069356616
yolov11,onnx,13.749304294586182,3.2129615140980543
yolov11,onnx,13.993717432022095,3.3886558308037196
yolov11,onnx,14.326105833053589,3.3126303781376225
yolov11,onnx,14.628687620162964,3.311082618193406
yolov11,onnx,14.927762746810913,3.31759439115903
yolov11,onnx,15.22141170501709,3.3351608510865924
yolov11,onnx,15.524938344955444,3.327049426806499
yolov11,onnx,15.828219175338745,3.321094343607375
yolov11,onnx,16.308204650878906,3.0735547499721436
yolov11,onnx,16.624197483062744,3.0917695490138333
yolov11,onnx,16.93178391456604,3.123639379648905
yolov11,onnx,17.233609199523926,3.161546511345826
yolov11,onnx,17.62505078315735,3.04016912934831
yolov11,onnx,17.976584911346436,3.0010701065667336
yolov11,onnx,18.322561740875244,2.978929478990139
yolov11,onnx,18.63492727279663,3.023419092368118
yolov11,onnx,18.957203149795532,3.039321592245222
yolov11,onnx,19.250617027282715,3.1130882917726086
yolov11,onnx,19.58869481086731,3.082050470103675
yolov11,onnx,19.946208715438843,3.0250591775410047
yolov11,onnx,20.257731199264526,3.0620555770207885
yolov11,onnx,20.568323612213135,3.093575194184437
yolov11,onnx,20.869805574417114,3.1382497609408757
yolov11,onnx,21.310664176940918,2.9642600046863876
yolov11,onnx,21.6163592338562,3.0256547619995247
yolov11,onnx,21.92960262298584,3.0590049617660213
yolov11,onnx,22.243183374404907,3.0849982188842118
yolov11,onnx,22.63649606704712,2.9764998356602184
yolov11,onnx,22.95426869392395,3.010580699613793
yolov11,onnx,23.26581072807312,3.050432506476147
yolov11,onnx,23.575121641159058,3.086944594298376
yolov11,onnx,23.879326820373535,3.1270066778063876
yolov11,onnx,24.19001030921936,3.1453473085240096
yolov11,onnx,24.516529321670532,3.1287996062677736
yolov11,onnx,24.811330795288086,3.18146234534142
yolov11,onnx,25.117385625839233,3.198647554242922
yolov11,onnx,25.4319851398468,3.194646933920178
yolov11,onnx,25.745941638946533,3.192748475221718
yolov11,onnx,26.14992666244507,3.0492666375647297
yolov11,onnx,26.527618885040283,2.9689449975876077
yolov11,onnx,26.84005618095398,3.0152844418114677
yolov11,onnx,27.14997363090515,3.0575606898424637
yolov11,onnx,27.535353899002075,2.9650164818814817
yolov11,onnx,27.8388614654541,3.0309753403469255
yolov11,onnx,28.179163932800293,3.012492731607255
yolov11,onnx,28.49575138092041,3.0417311703987373
yolov11,onnx,28.800854921340942,3.0889001090512855
yolov11,onnx,29.10547661781311,3.1276721395610223
yolov11,onnx,29.423752784729004,3.130522808585251
yolov11,onnx,29.743979692459106,3.128975381737599
