model,framework,timestamp,fps
ssdlite,onnx,0.38877129554748535,0.5144365402541333
ssdlite,onnx,1.1129653453826904,0.6877183060109571
ssdlite,onnx,1.4314637184143066,1.1781213375855817
ssdlite,onnx,1.7382948398590088,1.5943214321419994
ssdlite,onnx,2.04724383354187,1.9228131950597311
ssdlite,onnx,2.4200799465179443,2.0746792791227797
ssdlite,onnx,2.7197046279907227,2.3272451758805475
ssdlite,onnx,3.0062835216522217,2.5596842421088484
ssdlite,onnx,3.2934606075286865,2.7441817884773165
ssdlite,onnx,3.6182632446289062,2.811103978143305
ssdlite,onnx,3.899806022644043,2.95925480493732
ssdlite,onnx,4.2105913162231445,3.0109349380268533
ssdlite,onnx,4.515784740447998,3.064070064611756
ssdlite,onnx,4.844080209732056,3.0604633625187545
ssdlite,onnx,5.180177927017212,3.043435725313395
ssdlite,onnx,5.51662540435791,3.0291950049373044
ssdlite,onnx,5.843229055404663,3.0357190297733676
ssdlite,onnx,6.177612066268921,3.026691735429356
ssdlite,onnx,6.507118463516235,3.028321877182529
ssdlite,onnx,6.897280931472778,2.9352644704467554
ssdlite,onnx,7.226746082305908,2.955256052819492
ssdlite,onnx,7.534514904022217,3.0140432465639857
ssdlite,onnx,7.844467401504517,3.0564947633236406
ssdlite,onnx,8.144845485687256,3.1110233477915057
ssdlite,onnx,8.450405597686768,3.1433543723434347
ssdlite,onnx,8.858251810073853,3.0050644157933406
ssdlite,onnx,9.469547748565674,2.7312253078988054
ssdlite,onnx,9.840341567993164,2.724363562655876
ssdlite,onnx,10.144845247268677,2.8362973638451523
ssdlite,onnx,10.415283918380737,3.0085770966845047
ssdlite,onnx,10.664669752120972,3.208831849431734
ssdlite,onnx,10.919248819351196,3.3526760255182544
ssdlite,onnx,11.169258832931519,3.482108778241
ssdlite,onnx,11.415615558624268,3.5975179130935766
ssdlite,onnx,11.675779819488525,3.6467594276515687
ssdlite,onnx,11.930111408233643,3.7037825299346387
ssdlite,onnx,12.202057600021362,3.6984656294271634
ssdlite,onnx,12.487801551818848,3.6586998291837642
ssdlite,onnx,12.741222381591797,3.7161609727395932
ssdlite,onnx,13.000511884689331,3.7442673692674893
ssdlite,onnx,13.251168251037598,3.793319023114264
ssdlite,onnx,13.553952932357788,3.695190616543808
ssdlite,onnx,13.831781387329102,3.676021161909213
ssdlite,onnx,14.088801145553589,3.718967221869157
ssdlite,onnx,14.343097925186157,3.7616564073146206
ssdlite,onnx,14.59519624710083,3.8026663844567166
ssdlite,onnx,14.84890341758728,3.8304435034305206
ssdlite,onnx,15.108623743057251,3.834413902424408
ssdlite,onnx,15.365134477615356,3.847225587142095
ssdlite,onnx,15.61544942855835,3.8767738947829926
ssdlite,onnx,15.872116088867188,3.880639914349066
ssdlite,onnx,16.116878986358643,3.9216292399021206
ssdlite,onnx,16.37780237197876,3.903811919030813
ssdlite,onnx,16.6463520526886,3.8677906925083
ssdlite,onnx,16.899828910827637,3.883259218879909
ssdlite,onnx,17.147428035736084,3.9143646726063013
ssdlite,onnx,17.445992469787598,3.8013638902566975
ssdlite,onnx,17.705114364624023,3.8129286295492815
ssdlite,onnx,17.96799325942993,3.811149510604455
ssdlite,onnx,18.231226205825806,3.8087029210907235
ssdlite,onnx,18.519033432006836,3.7418719215061502
ssdlite,onnx,18.763816595077515,3.810547196548737
ssdlite,onnx,19.02312135696411,3.819730958894373
ssdlite,onnx,19.29032039642334,3.8042904518843157
ssdlite,onnx,19.54217839241028,3.8375306358793813
ssdlite,onnx,19.786752462387085,3.8877726862554685
ssdlite,onnx,20.044996738433838,3.8846786832769395
ssdlite,onnx,20.295323133468628,3.9066998443638146
ssdlite,onnx,20.539960622787476,3.9428960616122657
ssdlite,onnx,20.785902500152588,3.967517114908224
ssdlite,onnx,21.03683114051819,3.9710530402791706
ssdlite,onnx,21.293474197387695,3.9561348956142024
ssdlite,onnx,21.545092821121216,3.9597616400846216
ssdlite,onnx,21.79747223854065,3.960266961922783
ssdlite,onnx,22.058846950531006,3.9333985351265546
ssdlite,onnx,22.37408685684204,3.781156270810885
ssdlite,onnx,22.626291275024414,3.817932535872169
ssdlite,onnx,22.87912154197693,3.8453905599190037
ssdlite,onnx,23.130595445632935,3.8716235998771653
ssdlite,onnx,23.384957790374756,3.8835787838828058
ssdlite,onnx,23.71645188331604,3.710192028312384
ssdlite,onnx,23.967416763305664,3.7650778775825855
ssdlite,onnx,24.223718881607056,3.792391396985274
ssdlite,onnx,24.49439287185669,3.772809381006609
ssdlite,onnx,24.756345987319946,3.7817429098754105
ssdlite,onnx,25.022461414337158,3.7769479008807645
ssdlite,onnx,25.28699278831482,3.7776123077711494
ssdlite,onnx,25.539856672286987,3.8130292119272617
ssdlite,onnx,25.788289070129395,3.8554713493422126
ssdlite,onnx,26.038264751434326,3.8844549068686316
ssdlite,onnx,26.289565086364746,3.9034243848746195
ssdlite,onnx,26.542536973953247,3.9133411905867925
ssdlite,onnx,26.800225973129272,3.9068023201937487
ssdlite,onnx,27.0619535446167,3.889595204093766
ssdlite,onnx,27.403990745544434,3.6964078809288945
ssdlite,onnx,27.659168481826782,3.7408937403892426
ssdlite,onnx,27.91109323501587,3.786602839647643
ssdlite,onnx,28.160742044448853,3.8304076624389896
ssdlite,onnx,28.409561157226562,3.868122903307088
ssdlite,onnx,28.72814106941223,3.7222842951756636
ssdlite,onnx,28.985081434249878,3.7562181733311415
ssdlite,onnx,29.22899103164673,3.824950472923015
ssdlite,onnx,29.48475742340088,3.841923945280567
ssdlite,onnx,29.73501944541931,3.872701563636272
ssdlite,onnx,29.993744373321533,3.871183014299304
