timestamp,model,framework,fps
1970-01-01 00:00:01.000,fasterrcnn,pt,0.19308096214500495
1970-01-01 00:00:01.500,,,
1970-01-01 00:00:02.000,fasterrcnn,pt,0.33664215838045813
1970-01-01 00:00:02.500,fasterrcnn,pt,0.5395750234525643
1970-01-01 00:00:03.000,,,
1970-01-01 00:00:03.500,fasterrcnn,pt,0.6994986379928192
1970-01-01 00:00:04.000,fasterrcnn,pt,0.8371218926393835
1970-01-01 00:00:04.500,fasterrcnn,pt,0.7970102307437648
1970-01-01 00:00:05.000,fasterrcnn,pt,0.9427991132001987
1970-01-01 00:00:05.500,fasterrcnn,pt,1.0326969156504597
1970-01-01 00:00:06.000,fasterrcnn,pt,1.0877704083599002
1970-01-01 00:00:06.500,fasterrcnn,pt,1.0798943904179175
1970-01-01 00:00:07.000,fasterrcnn,pt,1.147746039622711
1970-01-01 00:00:07.500,fasterrcnn,pt,1.2088681499021487
1970-01-01 00:00:08.000,fasterrcnn,pt,1.1818794236221364
1970-01-01 00:00:08.500,fasterrcnn,pt,1.2268943234559986
1970-01-01 00:00:09.000,fasterrcnn,pt,1.2680390150043213
1970-01-01 00:00:09.500,fasterrcnn,pt,1.260032567549397
1970-01-01 00:00:10.000,fasterrcnn,pt,1.2783417318698298
1970-01-01 00:00:10.500,fasterrcnn,pt,1.3010058942006357
1970-01-01 00:00:11.000,fasterrcnn,pt,1.3039019808291177
1970-01-01 00:00:11.500,fasterrcnn,pt,1.2973351547499186
1970-01-01 00:00:12.000,fasterrcnn,pt,1.3348960652885564
1970-01-01 00:00:12.500,fasterrcnn,pt,1.3259109376622562
1970-01-01 00:00:13.000,fasterrcnn,pt,1.3330048467531252
1970-01-01 00:00:13.500,fasterrcnn,pt,1.3412424846980835
1970-01-01 00:00:14.000,fasterrcnn,pt,1.350185600168142
1970-01-01 00:00:14.500,fasterrcnn,pt,1.3464485292604516
1970-01-01 00:00:15.000,fasterrcnn,pt,1.3587435957890879
1970-01-01 00:00:15.500,fasterrcnn,pt,1.3609924255106345
1970-01-01 00:00:16.000,fasterrcnn,pt,1.340046542858679
1970-01-01 00:00:16.500,fasterrcnn,pt,1.3431822806536078
1970-01-01 00:00:17.000,fasterrcnn,pt,1.3670662412862673
1970-01-01 00:00:17.500,fasterrcnn,pt,1.3393235758264328
1970-01-01 00:00:18.000,fasterrcnn,pt,1.34989403202306
1970-01-01 00:00:18.500,fasterrcnn,pt,1.3537357671639358
1970-01-01 00:00:19.000,fasterrcnn,pt,1.354801204574383
1970-01-01 00:00:19.500,fasterrcnn,pt,1.363226853358283
1970-01-01 00:00:20.000,fasterrcnn,pt,1.3797550236158056
1970-01-01 00:00:20.500,fasterrcnn,pt,1.3646510719350815
1970-01-01 00:00:21.000,fasterrcnn,pt,1.3638186461533472
1970-01-01 00:00:21.500,fasterrcnn,pt,1.3687793134227209
1970-01-01 00:00:22.000,fasterrcnn,pt,1.3639686239102085
1970-01-01 00:00:22.500,fasterrcnn,pt,1.3657005384555658
1970-01-01 00:00:23.000,fasterrcnn,pt,1.3565312523600763
1970-01-01 00:00:23.500,fasterrcnn,pt,1.3558704256756315
1970-01-01 00:00:24.000,fasterrcnn,pt,1.361052661314621
1970-01-01 00:00:24.500,fasterrcnn,pt,1.3613192209192229
1970-01-01 00:00:25.000,fasterrcnn,pt,1.3517969025359875
1970-01-01 00:00:25.500,fasterrcnn,pt,1.354491426305304
1970-01-01 00:00:26.000,fasterrcnn,pt,1.3471397326145678
1970-01-01 00:00:26.500,fasterrcnn,pt,1.3573269580539904
1970-01-01 00:00:27.000,fasterrcnn,pt,1.3475024915291576
1970-01-01 00:00:27.500,fasterrcnn,pt,1.357428511287699
1970-01-01 00:00:28.000,fasterrcnn,pt,1.3522724289971546
1970-01-01 00:00:28.500,fasterrcnn,pt,1.3536663666779096
1970-01-01 00:00:29.000,fasterrcnn,pt,1.3589316619599412
1970-01-01 00:00:29.500,fasterrcnn,pt,1.3502381565622261
