timestamp,model,framework,fps
1970-01-01 00:00:00.500,yolov5,pt,1.1313011534990744e-10
1970-01-01 00:00:01.000,yolov5,pt,1.1313012710885745e-10
1970-01-01 00:00:01.500,yolov5,pt,0.24904333613683344
1970-01-01 00:00:02.000,yolov5,pt,0.5883769763837232
1970-01-01 00:00:02.500,yolov5,pt,0.8935396965014458
1970-01-01 00:00:03.000,yolov5,pt,1.135226743309993
1970-01-01 00:00:03.500,yolov5,pt,1.3331312015671342
1970-01-01 00:00:04.000,yolov5,pt,1.4987647753724915
1970-01-01 00:00:04.500,yolov5,pt,1.6353041599912235
1970-01-01 00:00:05.000,yolov5,pt,1.7437267600889779
1970-01-01 00:00:05.500,yolov5,pt,1.8420180736087137
1970-01-01 00:00:06.000,yolov5,pt,1.9142416015051666
1970-01-01 00:00:06.500,yolov5,pt,1.9613680513054053
1970-01-01 00:00:07.000,yolov5,pt,1.993941729426151
1970-01-01 00:00:07.500,yolov5,pt,2.015946579650985
1970-01-01 00:00:08.000,yolov5,pt,2.0343227964526127
1970-01-01 00:00:08.500,yolov5,pt,2.05115303612935
1970-01-01 00:00:09.000,yolov5,pt,2.0651396960191177
1970-01-01 00:00:09.500,yolov5,pt,2.073586212944638
1970-01-01 00:00:10.000,yolov5,pt,2.085717469823865
1970-01-01 00:00:10.500,yolov5,pt,2.0974834207367383
1970-01-01 00:00:11.000,yolov5,pt,2.0959793375147453
1970-01-01 00:00:11.500,yolov5,pt,2.099282635746976
1970-01-01 00:00:12.000,yolov5,pt,2.1082461414429208
1970-01-01 00:00:12.500,yolov5,pt,2.1019646013668294
1970-01-01 00:00:13.000,yolov5,pt,2.102435113766397
1970-01-01 00:00:13.500,yolov5,pt,2.1047612463019085
1970-01-01 00:00:14.000,yolov5,pt,2.1092405835631856
1970-01-01 00:00:14.500,yolov5,pt,2.095228774232748
1970-01-01 00:00:15.000,yolov5,pt,2.0918941280675956
1970-01-01 00:00:15.500,yolov5,pt,2.0996759501150764
1970-01-01 00:00:16.000,yolov5,pt,2.101598835587079
1970-01-01 00:00:16.500,yolov5,pt,2.104485050515577
1970-01-01 00:00:17.000,yolov5,pt,2.1008973836120957
1970-01-01 00:00:17.500,yolov5,pt,2.1031003620218005
1970-01-01 00:00:18.000,yolov5,pt,2.1056385158327107
1970-01-01 00:00:18.500,yolov5,pt,2.1102608504165135
1970-01-01 00:00:19.000,yolov5,pt,2.109265905087943
1970-01-01 00:00:19.500,yolov5,pt,2.107026749441137
1970-01-01 00:00:20.000,yolov5,pt,2.1115374131561113
1970-01-01 00:00:20.500,yolov5,pt,2.118464893330595
1970-01-01 00:00:21.000,yolov5,pt,2.1152703130649195
1970-01-01 00:00:21.500,yolov5,pt,2.1094941360526587
1970-01-01 00:00:22.000,yolov5,pt,2.113319124347014
1970-01-01 00:00:22.500,yolov5,pt,2.10772250804091
1970-01-01 00:00:23.000,yolov5,pt,2.1045290658843383
1970-01-01 00:00:23.500,yolov5,pt,2.1064668787749734
1970-01-01 00:00:24.000,yolov5,pt,2.106911338214993
1970-01-01 00:00:24.500,yolov5,pt,2.096617131511839
1970-01-01 00:00:25.000,yolov5,pt,2.0940191066063267
1970-01-01 00:00:25.500,yolov5,pt,2.101307459122346
1970-01-01 00:00:26.000,yolov5,pt,2.098911584747543
1970-01-01 00:00:26.500,yolov5,pt,2.1036034538499395
1970-01-01 00:00:27.000,yolov5,pt,2.1047487292223437
1970-01-01 00:00:27.500,yolov5,pt,2.1030108231166276
1970-01-01 00:00:28.000,yolov5,pt,2.1049003968874556
1970-01-01 00:00:28.500,yolov5,pt,2.1076141869693314
1970-01-01 00:00:29.000,yolov5,pt,2.1113105385663458
1970-01-01 00:00:29.500,yolov5,pt,2.108564276724279
