timestamp,model,framework,fps
1970-01-01 00:00:00.500,fasterrcnn,pt,0.6003354878157607
1970-01-01 00:00:01.000,fasterrcnn,pt,1.6882818902845984
1970-01-01 00:00:01.500,fasterrcnn,pt,2.473466974026553
1970-01-01 00:00:02.000,fasterrcnn,pt,2.8426085418413125
1970-01-01 00:00:02.500,fasterrcnn,pt,3.0852794478168644
1970-01-01 00:00:03.000,fasterrcnn,pt,3.319089229380404
1970-01-01 00:00:03.500,fasterrcnn,pt,3.4644143327166894
1970-01-01 00:00:04.000,fasterrcnn,pt,3.5635776849352987
1970-01-01 00:00:04.500,fasterrcnn,pt,3.6369617465478683
1970-01-01 00:00:05.000,fasterrcnn,pt,3.666800986626293
1970-01-01 00:00:05.500,fasterrcnn,pt,3.6869054373643046
1970-01-01 00:00:06.000,fasterrcnn,pt,3.701144779966892
1970-01-01 00:00:06.500,fasterrcnn,pt,3.6858274292773188
1970-01-01 00:00:07.000,fasterrcnn,pt,3.6222868726793664
1970-01-01 00:00:07.500,fasterrcnn,pt,3.6004701082866015
1970-01-01 00:00:08.000,fasterrcnn,pt,3.6363824731479575
1970-01-01 00:00:08.500,fasterrcnn,pt,3.6511019559826963
1970-01-01 00:00:09.000,fasterrcnn,pt,3.641571114467351
1970-01-01 00:00:09.500,fasterrcnn,pt,3.6580395581277982
1970-01-01 00:00:10.000,fasterrcnn,pt,3.653794027037466
1970-01-01 00:00:10.500,fasterrcnn,pt,3.6555501049592762
1970-01-01 00:00:11.000,fasterrcnn,pt,3.664656669766041
1970-01-01 00:00:11.500,fasterrcnn,pt,3.6421776256780625
1970-01-01 00:00:12.000,fasterrcnn,pt,3.5776718970309984
1970-01-01 00:00:12.500,fasterrcnn,pt,3.5563074155130585
1970-01-01 00:00:13.000,fasterrcnn,pt,3.5777909004192843
1970-01-01 00:00:13.500,fasterrcnn,pt,3.593685790312917
1970-01-01 00:00:14.000,fasterrcnn,pt,3.607461326376528
1970-01-01 00:00:14.500,fasterrcnn,pt,3.608259420912591
1970-01-01 00:00:15.000,fasterrcnn,pt,3.603127865211828
1970-01-01 00:00:15.500,fasterrcnn,pt,3.6100486106381915
1970-01-01 00:00:16.000,fasterrcnn,pt,3.6014240879368047
1970-01-01 00:00:16.500,fasterrcnn,pt,3.6027848764970765
1970-01-01 00:00:17.000,fasterrcnn,pt,3.5555900689304316
1970-01-01 00:00:17.500,fasterrcnn,pt,3.555544773148852
1970-01-01 00:00:18.000,fasterrcnn,pt,3.560072128752025
1970-01-01 00:00:18.500,fasterrcnn,pt,3.580697135655165
1970-01-01 00:00:19.000,fasterrcnn,pt,3.600711709061062
1970-01-01 00:00:19.500,fasterrcnn,pt,3.5999033955801707
1970-01-01 00:00:20.000,fasterrcnn,pt,3.604991305549975
1970-01-01 00:00:20.500,fasterrcnn,pt,3.600541856381593
1970-01-01 00:00:21.000,fasterrcnn,pt,3.629163277890835
1970-01-01 00:00:21.500,fasterrcnn,pt,3.628378546635144
1970-01-01 00:00:22.000,fasterrcnn,pt,3.550950114320547
1970-01-01 00:00:22.500,fasterrcnn,pt,3.523529166876957
1970-01-01 00:00:23.000,fasterrcnn,pt,3.5461301825847693
1970-01-01 00:00:23.500,fasterrcnn,pt,3.5565368658712315
1970-01-01 00:00:24.000,fasterrcnn,pt,3.557951190306356
1970-01-01 00:00:24.500,fasterrcnn,pt,3.581936480149737
1970-01-01 00:00:25.000,fasterrcnn,pt,3.5757902592529427
1970-01-01 00:00:25.500,fasterrcnn,pt,3.58875783140765
1970-01-01 00:00:26.000,fasterrcnn,pt,3.584835043902723
1970-01-01 00:00:26.500,fasterrcnn,pt,3.57076543867552
1970-01-01 00:00:27.000,fasterrcnn,pt,3.513664145688806
1970-01-01 00:00:27.500,fasterrcnn,pt,3.4894977682629373
1970-01-01 00:00:28.000,fasterrcnn,pt,3.50981011033346
1970-01-01 00:00:28.500,fasterrcnn,pt,3.545221995380588
1970-01-01 00:00:29.000,fasterrcnn,pt,3.5626955271409804
1970-01-01 00:00:29.500,fasterrcnn,pt,3.570897744456425
