timestamp,model,framework,fps
1970-01-01 00:00:00.000,ssdlite,pt,0.45630016012420616
1970-01-01 00:00:00.500,ssdlite,pt,1.4527655799700867
1970-01-01 00:00:01.000,ssdlite,pt,3.166860650048264
1970-01-01 00:00:01.500,ssdlite,pt,4.294554448954216
1970-01-01 00:00:02.000,ssdlite,pt,4.86530858770862
1970-01-01 00:00:02.500,ssdlite,pt,5.202769994176461
1970-01-01 00:00:03.000,ssdlite,pt,5.3789088228846715
1970-01-01 00:00:03.500,ssdlite,pt,5.456886666505076
1970-01-01 00:00:04.000,ssdlite,pt,5.476447193947921
1970-01-01 00:00:04.500,ssdlite,pt,5.432390582206918
1970-01-01 00:00:05.000,ssdlite,pt,5.392874158983195
1970-01-01 00:00:05.500,ssdlite,pt,5.352323023806116
1970-01-01 00:00:06.000,ssdlite,pt,5.337960098675764
1970-01-01 00:00:06.500,ssdlite,pt,5.337660692674424
1970-01-01 00:00:07.000,ssdlite,pt,5.352899496601019
1970-01-01 00:00:07.500,ssdlite,pt,5.358367146920658
1970-01-01 00:00:08.000,ssdlite,pt,5.352434744678469
1970-01-01 00:00:08.500,ssdlite,pt,5.346732446863726
1970-01-01 00:00:09.000,ssdlite,pt,5.347092802376314
1970-01-01 00:00:09.500,ssdlite,pt,5.309637836531771
1970-01-01 00:00:10.000,ssdlite,pt,5.282650299208941
1970-01-01 00:00:10.500,ssdlite,pt,5.255900197781108
1970-01-01 00:00:11.000,ssdlite,pt,5.259733221197589
1970-01-01 00:00:11.500,ssdlite,pt,5.253280070646559
1970-01-01 00:00:12.000,ssdlite,pt,5.243324486200761
1970-01-01 00:00:12.500,ssdlite,pt,5.271558312775389
1970-01-01 00:00:13.000,ssdlite,pt,5.294975513081322
1970-01-01 00:00:13.500,ssdlite,pt,5.320782468598577
1970-01-01 00:00:14.000,ssdlite,pt,5.305930672784546
1970-01-01 00:00:14.500,ssdlite,pt,5.272984731461544
1970-01-01 00:00:15.000,ssdlite,pt,5.262194606598309
1970-01-01 00:00:15.500,ssdlite,pt,5.250981404769109
1970-01-01 00:00:16.000,ssdlite,pt,5.238721097424247
1970-01-01 00:00:16.500,ssdlite,pt,5.231406156146882
1970-01-01 00:00:17.000,ssdlite,pt,5.262751598146425
1970-01-01 00:00:17.500,ssdlite,pt,5.2687928991664865
1970-01-01 00:00:18.000,ssdlite,pt,5.280331014876057
1970-01-01 00:00:18.500,ssdlite,pt,5.304841200588685
1970-01-01 00:00:19.000,ssdlite,pt,5.274580493074418
1970-01-01 00:00:19.500,ssdlite,pt,5.256033479759983
1970-01-01 00:00:20.000,ssdlite,pt,5.255803573476575
1970-01-01 00:00:20.500,ssdlite,pt,5.239561094855833
1970-01-01 00:00:21.000,ssdlite,pt,5.218219716441068
1970-01-01 00:00:21.500,ssdlite,pt,5.19123294650232
1970-01-01 00:00:22.000,ssdlite,pt,5.223943364908873
1970-01-01 00:00:22.500,ssdlite,pt,5.233554186119164
1970-01-01 00:00:23.000,ssdlite,pt,5.240489316577579
1970-01-01 00:00:23.500,ssdlite,pt,5.288732843792501
1970-01-01 00:00:24.000,ssdlite,pt,5.287214425679638
1970-01-01 00:00:24.500,ssdlite,pt,5.279750135915145
1970-01-01 00:00:25.000,ssdlite,pt,5.274107570665059
1970-01-01 00:00:25.500,ssdlite,pt,5.237075600108744
1970-01-01 00:00:26.000,ssdlite,pt,5.222362732572202
1970-01-01 00:00:26.500,ssdlite,pt,5.261966967093812
1970-01-01 00:00:27.000,ssdlite,pt,5.2389533491268985
1970-01-01 00:00:27.500,ssdlite,pt,5.248197627312957
1970-01-01 00:00:28.000,ssdlite,pt,5.264043735466938
1970-01-01 00:00:28.500,ssdlite,pt,5.2527005674352
1970-01-01 00:00:29.000,ssdlite,pt,5.302164213282785
1970-01-01 00:00:29.500,ssdlite,pt,5.289063633748858
